Nº holes / Nº filaments,Diameter (mm),L/D,Filter (um),Vpump (rpm),Vext (rpm),TE1 (°C),TE2 (°C),TE3 (°C),TE4 (°C),TD(°C),PD(bar),PE(bar),VTO (m/min),VG1(m/min),VG2(m/min),VG3(m/min),VG4(m/min),Vwinder (m/min),Tg1(°C),Tg2(°C),Tg3(°C),Quench (%),Spin. F (rmp),Height (m),Count (dtex),Tenacity (g/den),Elongation (%),Sand size min (um),Sand size max (um)
48.0,0.4,2.0,60.0,13.0,55.0,210.0,215.0,220.0,225.0,225.0,0.0,40.0,850.0,900.0,1300.0,2350,2500,2573.0,70.0,100.0,131.0,30.0,18.0,1.35,150,1.92,37.7,500.0,355.0
48.0,0.4,4.0,90.0,11.7,24.0,44.0,50.0,170.0,175.0,185.0,190.0,195.0,1350.0,1425.0,1850.0,1930,1995,2075.0,40.0,60.0,70.0,20.0,20.0,1.4,168,1.36,38.0,500.0,355.0
48.0,0.4,4.0,90.0,11.7,24.0,56.0,50.0,170.0,175.0,185.0,190.0,195.0,1700.0,1850.0,2150.0,2350,2450,2540.0,50.0,65.0,75.0,20.0,20.0,1.4,141,1.4,30.0,500.0,355.0
72.0,0.3,2.0,60.0,14.8,48.0,88.6,70.0,275.0,280.0,285.0,290.0,290.0,768.0,821.0,1374.0,2514,2485,2555.0,89.0,97.0,115.0,40.0,18.0,1.3,175,3.45,37.61,500.0,355.0
72.0,0.3,2.0,60.0,12.6,54.0,75.4,50.0,285.0,295.0,300.0,295.0,295.0,768.0,821.0,1374.0,2514,2485,2555.0,88.0,130.0,140.0,40.0,18.0,1.3,150,3.5,38.0,500.0,355.0
72.0,0.3,2.0,60.0,12.6,56.0,49.2,50.0,285.0,295.0,295.0,290.0,290.0,792.0,818.0,1375.0,2485,2455,2530.0,88.0,130.0,140.0,40.0,18.0,1.3,150,3.4,24.0,500.0,355.0
72.0,0.3,2.0,60.0,12.6,53.0,70.8,50.0,285.0,300.0,300.0,295.0,290.0,792.0,818.0,1404.0,2504,2445,2520.0,88.0,130.0,140.0,40.0,18.0,1.3,150,3.27,27.53,500.0,355.0
48.0,0.4,2.0,60.0,13.0,80.0,0.0,45.0,225.0,225.0,225.0,230.0,230.0,851.0,975.0,1451.0,2450,2450,2520.0,80.0,110.0,95.0,35.0,18.0,1.2,152,1.27,35.78,500.0,355.0
48.0,0.4,2.0,60.0,13.0,73.0,0.0,40.0,225.0,225.0,225.0,230.0,230.0,900.0,1026.0,1799.0,2626,2651,2730.0,78.0,95.0,96.0,15.0,18.0,1.2,147,1.62,35.87,500.0,355.0
48.0,0.4,4.0,90.0,22.0,50.0,112.6,106.0,250.0,260.0,265.0,265.0,265.0,1650.0,1750.0,1950.0,2000,1970,2040.0,60.0,70.0,100.0,50.0,24.0,1.7,257,0.97,26.98,0.0,0.0
48.0,0.4,4.0,90.0,22.0,50.0,109.0,103.0,250.0,260.0,265.0,265.0,265.0,1986.0,1750.0,1950.0,2000,1981,2045.0,60.0,70.0,100.0,40.0,20.0,2.0,257,0.76,34.3,0.0,0.0
72.0,0.35,4.0,178.0,21.0,44.0,135.3,115.7,255.0,260.0,265.0,270.0,270.0,900.0,1100.0,2700.0,2975,2850,2940.0,70.0,80.0,100.0,45.0,18.0,1.3,207,2.68,42.58,0.0,0.0
72.0,0.35,4.0,178.0,20.0,40.0,148.0,90.0,255.0,260.0,265.0,270.0,270.0,900.0,1100.0,2700.0,2975,2850,2955.0,76.0,80.0,100.0,30.0,18.0,1.3,190,2.84,35.42,0.0,0.0
72.0,0.35,4.0,178.0,20.5,40.0,136.0,90.0,255.0,265.0,240.0,275.0,275.0,1050.0,1100.0,2780.0,3000,2850,2955.0,76.0,80.0,100.0,45.0,18.0,1.3,200,1.7,26.0,0.0,0.0
72.0,0.35,4.0,178.0,20.0,40.0,134.8,89.1,255.0,265.0,240.0,275.0,275.0,1050.0,1100.0,2780.0,3000,2850,2955.0,76.0,80.0,100.0,45.0,18.0,1.3,192,2.77,46.11,0.0,0.0
72.0,0.35,4.0,178.0,20.0,40.0,134.8,89.1,255.0,265.0,240.0,275.0,275.0,900.0,950.0,2780.0,3000,2850,2953.0,76.0,80.0,100.0,45.0,18.0,1.3,192,3.11,37.02,0.0,0.0
48.0,0.4,4.0,60.0,17.4,88.5,116.4,120.0,280.0,285.0,290.0,290.0,285.0,1750.0,1800.0,2100.0,2655,2550,2625.0,162.0,200.0,165.0,50.0,18.0,1.45,182,2.32,29.33,500.0,355.0
48.0,0.4,4.0,60.0,9.0,52.9,70.6,87.8,280.0,285.0,290.0,290.0,285.0,1750.0,1800.0,2100.0,2655,2550,2625.0,162.0,200.0,165.0,50.0,18.0,1.45,131,2.25,28.0,500.0,355.0
48.0,0.4,4.0,60.0,11.5,75.0,90.0,100.0,280.0,285.0,290.0,290.0,285.0,1750.0,1800.0,2100.0,2655,2550,2620.0,150.0,170.0,150.0,50.0,18.0,1.45,135,2.23,27.3,500.0,355.0
48.0,0.4,4.0,60.0,9.0,58.0,101.0,108.0,280.0,285.0,290.0,290.0,286.0,1325.0,1421.0,1659.0,2098,2000,2070.0,155.0,201.0,155.0,50.0,19.0,1.3,134,2.22,27.3,500.0,355.0
72.0,0.3,2.0,60.0,20.0,85.0,110.6,68.5,260.0,265.0,270.0,270.0,270.0,1702.0,1751.0,2501.0,2778,2822,2920.0,95.0,145.0,115.0,35.0,20.0,1.3,192,1.36,208.42,500.0,355.0
72.0,0.3,2.0,60.0,20.0,85.0,112.5,65.2,260.0,265.0,270.0,270.0,270.0,1198.0,1249.0,2299.0,2822,2832,2920.0,95.0,145.0,115.0,35.0,20.0,1.3,200,1.55,110.0,500.0,355.0
72.0,0.3,2.0,60.0,13.0,77.0,215.0,30.0,215.0,218.0,222.0,225.0,228.0,900.0,1200.0,1700.0,2582,2577,2665.0,75.0,105.0,85.0,15.0,18.0,1.3,150,1.6,37.0,500.0,355.0
72.0,0.3,2.0,60.0,13.0,100.0,0.0,0.0,210.0,212.0,214.0,216.0,220.0,900.0,1250.0,1700.0,2582,2600,2665.0,75.0,90.0,75.0,30.0,18.0,1.3,180,1.05,35.0,500.0,355.0
72.0,0.3,2.0,60.0,10.0,100.0,0.0,0.0,210.0,212.0,214.0,216.0,220.0,900.0,1200.0,1650.0,2500,2530,2620.0,75.0,90.0,75.0,40.0,18.0,1.3,150,1.0,23.0,500.0,355.0
72.0,0.35,4.0,60.0,20.0,39.0,80.0,60.0,255.0,260.0,265.0,270.0,270.0,900.0,1100.0,2700.0,2975,2850,2953.0,70.0,80.0,100.0,45.0,18.0,1.4,196,3.2,36.22,500.0,355.0
72.0,0.6,4.0,105.0,22.0,46.4,22.7,90.0,235.0,240.0,245.0,245.0,250.0,900.0,1000.0,2300.0,2800,2750,2830.0,50.0,62.0,77.0,30.0,20.0,2.1,182,1.86,176.67,0.0,0.0
72.0,0.6,4.0,105.0,21.5,46.4,21.2,90.0,235.0,240.0,245.0,245.0,250.0,900.0,1050.0,2350.0,2850,2835,2910.0,50.0,62.0,77.0,25.0,20.0,2.1,135,2.07,162.0,0.0,0.0
72.0,0.6,4.0,105.0,21.5,46.4,21.2,90.0,235.0,240.0,245.0,245.0,250.0,600.0,1050.0,2500.0,2900,2886,2920.0,50.0,62.0,77.0,35.0,20.0,2.1,141,2.18,153.33,0.0,0.0
72.0,0.6,4.0,105.0,20.5,46.4,21.2,90.0,235.0,240.0,245.0,245.0,250.0,600.0,1050.0,2500.0,2900,2886,2920.0,50.0,62.0,77.0,35.0,20.0,2.1,145,2.17,151.78,0.0,0.0
72.0,0.6,4.0,105.0,25.0,48.18,27.6,90.0,235.0,240.0,245.0,245.0,250.0,800.0,900.0,2700.0,3052,2915,3005.0,50.0,62.0,77.0,45.0,20.0,2.1,157,2.1,143.0,0.0,0.0
72.0,0.6,4.0,105.0,25.0,45.0,27.0,75.0,235.0,240.0,245.0,245.0,250.0,600.0,1000.0,2550.0,2876,2750,2855.0,70.0,60.0,50.0,35.0,24.0,1.8,170,1.65,161.7,0.0,0.0
72.0,0.6,4.0,105.0,25.0,45.0,32.3,75.0,235.0,240.0,245.0,245.0,250.0,800.0,900.0,2700.0,3052,2915,3005.0,35.0,45.0,55.0,35.0,22.0,2.1,155,2.15,162.3,0.0,0.0
72.0,0.6,4.0,105.0,25.0,45.0,32.3,75.0,235.0,240.0,245.0,245.0,250.0,1350.0,1400.0,2900.0,3100,2915,3005.0,50.0,60.0,70.0,35.0,22.0,2.1,165,1.91,190.0,0.0,0.0
72.0,0.6,4.0,105.0,22.0,45.0,29.0,75.0,235.0,240.0,245.0,245.0,250.0,650.0,750.0,2900.0,3100,2930,3020.0,50.0,60.0,70.0,35.0,22.0,2.1,142,2.32,83.56,0.0,0.0
72.0,0.6,4.0,105.0,22.5,45.0,31.0,75.0,235.0,240.0,245.0,245.0,250.0,650.0,750.0,2900.0,3100,2930,3020.0,50.0,60.0,70.0,35.0,22.0,2.1,150,2.22,101.89,0.0,0.0
72.0,0.6,4.0,105.0,22.5,47.0,16.3,87.4,217.0,220.0,218.0,215.0,220.0,500.0,700.0,1950.0,2150,2040,2135.0,50.0,60.0,70.0,42.0,22.0,1.9,200,1.3,110.67,850.0,500.0
72.0,0.6,4.0,105.0,22.5,35.0,28.7,36.6,217.0,220.0,218.0,215.0,220.0,650.0,850.0,2250.0,2925,2875,2940.0,55.0,65.0,75.0,10.0,20.0,1.9,166,2.1,124.33,850.0,500.0
72.0,0.6,4.0,105.0,20.0,35.0,20.7,65.0,217.0,220.0,218.0,215.0,220.0,650.0,730.0,2000.0,2775,2750,2835.0,65.0,75.0,85.0,20.0,20.0,1.9,135,2.49,65.67,850.0,500.0
72.0,0.6,4.0,105.0,22.5,40.0,51.9,85.0,217.0,220.0,218.0,215.0,220.0,650.0,730.0,2000.0,2740,2700,2835.0,65.0,75.0,85.0,45.0,20.0,1.9,170,2.0,110.0,850.0,500.0
72.0,0.6,4.0,105.0,22.5,40.0,56.0,64.2,217.0,220.0,218.0,215.0,220.0,650.0,730.0,2000.0,2600,2520,2610.0,65.0,75.0,85.0,45.0,20.0,1.9,190,1.85,103.93,850.0,500.0
72.0,0.6,4.0,105.0,30.0,45.0,74.9,56.1,217.0,220.0,218.0,215.0,220.0,650.0,730.0,2250.0,2900,2800,2610.0,65.0,75.0,85.0,55.0,20.0,1.9,200,2.2,123.68,850.0,500.0
72.0,0.6,4.0,105.0,30.0,45.0,74.9,56.1,217.0,220.0,218.0,215.0,220.0,650.0,730.0,2350.0,3000,2900,3000.0,65.0,75.0,85.0,55.0,20.0,1.9,196,2.27,112.67,850.0,500.0
