,Tg1(°C),Tg2(°C),Tg3(°C)
4,61.04352283876082,88.09253374414646,102.6138851924283
5,60.75292232854504,86.70512889694791,103.41575021586411
6,106.00074048873303,129.39720577847567,136.97770303681594
7,105.45624632526186,127.14477195481342,136.07410581721402
8,95.09451767377281,121.30879909526362,132.8512815402455
9,99.27877541445577,123.2817351723061,131.25074819175978
10,95.4908722605299,124.00481750427176,131.09498290719515
11,103.7535004406419,128.84402036255523,136.81329312416926
12,90.93281721462316,123.49737658992001,130.6637906850696
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,66.29050818998967,83.44375989887016,93.76967458491757
20,66.2214405684063,83.40868679772639,96.04117774183563
21,53.632517941539426,69.93228306781319,91.90649676884507
22,41.484676822164,53.2752842851225,85.36684935855084
23,59.633219313494045,69.69901945490413,100.30514416156936
24,58.76352319889061,71.5727109645319,96.98002305451543
25,71.92909991351566,89.54713233297639,95.25362408433594
26,70.67558912418272,88.83416331673352,96.70371501681987
27,69.6872122728228,87.14796257412826,93.74140284373404
28,69.32990737827062,88.45663736233422,95.47842891141804
32,107.37761331858391,119.71238026660536,122.22484088976248
33,104.7218984945549,121.01067786723885,122.86933464067201
34,103.11021533533777,125.48624602523388,124.26631838203924
35,90.47494090059912,115.06646774002259,129.52852114677952
36,85.19812037241933,109.01728490800599,125.95340336052627
37,82.15478359167257,105.77632554576289,119.61837501406754
38,73.16664693583019,93.95088934364973,110.93542971483129
39,91.01313429923736,107.924162483472,117.21447184827494
40,99.05640559485028,119.36803263849926,125.69253041397504
41,106.06320146400896,126.25618201680173,127.10987215549657
42,92.4221514622704,115.31682610468185,131.2883693885997
47,96.06283922860185,122.82978027625569,128.67319884812122
49,65.6432232320203,78.18672900818403,97.35824180026944
50,61.11449566759859,76.62535279498674,81.47305951405113
51,61.57565159875857,85.47752688102075,99.66146576381988
52,61.22220756266921,84.46578583024319,96.84422446149895
53,62.02058596930389,85.93181248703092,91.5832502607097
54,61.42584305996026,86.75845683514683,92.0112687220767
55,62.1673797314125,87.30754182335764,92.40450218972884
56,56.86926623668397,85.58191111301721,97.51663891812787
60,83.29522008730414,109.11414457493672,117.60952674641483
61,64.19918617226615,95.53292468354412,101.01919851465024
65,,,
66,,,
69,104.3389107883724,121.93815100565256,123.99390546744978
71,101.0617058521272,113.73718864295523,125.36446829219528
72,98.67296882542395,116.05817043432648,129.2672876637106
75,116.93250715210601,137.52846762718966,139.36220620398228
76,131.9896570586899,157.111110395274,150.46454369520916
77,129.77824074725805,154.05583336539615,139.7962073157418
78,138.41085496270713,145.463924236491,142.657046358204
79,127.44823045372812,130.1546104906361,141.33265459341192
82,70.66308713477923,95.00209274643935,110.13069686846575
84,124.67833455167926,141.6806266458531,136.84198379232862
85,118.88257060054573,135.88725086268272,131.81851970965906
90,106.94612274138727,130.0343202596862,134.23201672669393
91,98.5753116646272,119.54663586903722,131.625434245327
92,98.36956382500769,119.14939335341748,131.11977242847175
94,121.16936730438968,145.45791074028375,143.30854459735482
101,77.7312856587157,102.70166258888973,121.41303523246114
102,76.29410859582234,96.49550361317374,122.24179756640505
109,29.648280546963143,57.12028983185897,60.60092921783506
110,39.67951154290914,60.31543240680158,63.39457090812827
111,47.801643654483826,60.20991928941643,68.74436022026251
112,23.6134454049664,55.84204753751018,63.22439287321376
118,38.19899304271694,56.00559488103321,78.39787356669942
119,43.31551143159056,61.58109161666972,81.45015008912009
120,68.04794186590024,91.12937854546644,95.40532177003038
121,54.97036154128492,67.56154982112902,88.84211899757683
122,56.79781933806549,68.2742913947336,88.49698817289683
131,75.0,80.0,
134,94.07786918895609,117.20359399825387,122.08942455764372
135,87.24319949293462,107.0925716842435,115.00604560312675
136,29.5262482197816,57.1281631947524,82.17249782520496
137,30.371562422167344,56.41416484923879,80.09334861077949
138,27.851380022569856,55.55741277618572,80.31106864795942
139,115.65234665823598,133.32483614567136,142.1896757282482
140,102.16194326925323,122.8432992208455,137.34751045877286
141,106.8337414273589,124.68016935821613,134.86091509152138
145,82.04893862684652,99.05094627765457,114.5520529443586
146,82.14551924284608,98.85210249169809,114.33327571403551
147,78.60858696547083,103.30199370752374,109.88462826427602
148,65.61449051911899,96.08173028021996,128.87908755872743
149,73.02491606681437,95.51378291613133,124.63459043814971
150,63.28538002444242,87.0604855195631,118.82273354775772
155,,,
156,79.72059991963425,101.43545370199746,112.17202589776886
157,81.10795710125025,103.37596255965302,112.67247182117629
158,94.8057728224442,127.98770207469589,127.49521521011336
159,94.8120008408638,128.19203052017673,127.48016440976548
160,,,
161,,,
170,,,
171,,,
173,93.39807233220944,107.26106208870586,113.70582166353064
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,86.87533357807223,106.63250952527638,114.5737539145259
185,100.60815777583312,127.31266625142976,130.15569696724225
186,108.63152301891984,129.23426122650912,132.86678294460717
187,122.72474796720697,141.10434347324363,137.1894893456237
195,115.37546997576052,149.69429221773115,158.44198062637054
196,117.72789465886382,152.69686934689125,160.50760528799773
197,127.73608924835702,162.02017524059244,165.35867371969192
198,112.26321896124553,133.65647723823508,139.2964074155475
199,115.85092420659899,136.80545275428506,140.24481648090168
200,64.3038672576645,82.50872521324892,85.8137938073937
201,61.60049305716177,80.00326791228989,84.06266519053949
202,99.45937842586818,122.0222814464698,118.91095945873424
203,109.14480963154003,131.4121742166447,127.0044557828041
204,109.15251885335309,131.79115900441667,127.41566098803776
205,113.22458420659059,137.92945070902746,130.37542596906962
