Date;Test;Material;Nº holes / Nº filaments;Diameter (mm);L/D;Filter (um);Sand quantity (cm);Sand size (um);Support;Vpump (rpm);Vext (rpm);TE1 (°C);TE2 (°C);TE3 (°C);TE4 (°C);TD(°C);PD(bar);PE(bar);VTO (m/min);VG1(m/min);VG2(m/min);VG3(m/min);VG4(m/min);Vwinder (m/min);Winder tension (N);Tg1(°C);Tg2(°C);Tg3(°C);Quench (%);Spin. F (rmp);Height (m);Count (dtex);Tenacity (g/den);Elongation (%)
07/02/2024;P24-24;SABIC M200024;72;0.6;4/1;105;2;500-850;2;22.5;47;16.3;87.4;217;220;218;215;220;500;700;1950;2150;2040;2135;10;50;60;70;42;22;1.9;200;1.3;110.67
07/02/2024;P24-25;SABIC M200056;72;0.6;4/1;105;2;500-850;2;22.5;35;28.7;36.6;217;220;218;215;220;650;850;2250;2925;2875;2940;10;55;65;75;10;20;1.9;166;2.1;124.33
07/02/2024;P24-26;SABIC M200056;72;0.6;4/1;105;2;500-850;2;20;35;20.7;65;217;220;218;215;220;650;730;2000;2775;2750;2835;10;65;75;85;20;20;1.9;135;2.49;65.67
07/02/2024;P24-28;SABIC M200056;72;0.6;4/1;105;2;500-850;2;22.5;40;51.9;85;217;220;218;215;220;650;730;2000;2740;2700;2835;10;65;75;85;45;20;1.9;170;2;110
07/02/2024;P24-29;SABIC M200056;72;0.6;4/1;105;2;500-850;2;22.5;40;56;64.2;217;220;218;215;220;650;730;2000;2600;2520;2610;10;65;75;85;45;20;1.9;190;1.85;103.93
07/02/2024;P24-31;SABIC M200056;72;0.6;4/1;105;2;500-850;2;30;45;74.9;56.1;217;220;218;215;220;650;730;2250;2900;2800;2610;8;65;75;85;55;20;1.9;200;2.2;123.68
07/02/2024;P24-32;SABIC M200056;72;0.6;4/1;105;2;500-850;2;30;45;74.9;56.1;217;220;218;215;220;650;730;2350;3000;2900;3000;8;65;75;85;55;20;1.9;196;2.27;112.67
27/02/2024;P24-35;PP HP 561R;;;;;;;;18;41;82.6;90;215;220;225;230;240;1400;1450;2100;2500;2450;2530;;40;45;50;40;18;;165;3.97;116
27/02/2024;P24-36;PP HP 561R;;;;;;;;18;41;84.4;90;215;220;225;230;240;1400;1450;2100;2540;2450;2500;20;45;55;65;40;18;;152;4.25;125.44
27/02/2024;P24-37;PP HP 561R + 5% SETAS;;;;;;;;18;50;75.8;90;215;220;225;230;240;1400;1450;2100;2500;2430;2480;12;45;55;65;40;18;;155;4.49;139.56
27/02/2024;P24-38;PP HP 561R + 5% FUNDCHEM;;;;;;;;18;44.7;83.2;90;215;220;225;230;240;1400;1450;2100;2500;2430;2480;12;45;55;65;40;18;;153;4.1;126.86
02/04/2024;P24-41;PLA + CaCO3;72;0.3;2/1;90;2;355-500;2;20;44;58;70;225;230;235;240;240;2500;;;2520;2520;2600;;;;;40;20;1.65;235;2.1;85
02/04/2024;P24-42;PLA + CaCO3;72;0.3;2/1;90;2;355-500;2;19;42;52;70;225;230;235;240;240;2500;;;2520;2520;2600;;;;;40;20;1.65;230;2.05;85
02/04/2024;P24-43;PLA + CaCO3;72;0.3;2/1;90;2;355-500;2;18;40;46;70;225;230;235;240;240;2500;;;2520;2520;2600;;;;;40;20;1.65;215;2.1;85
02/04/2024;P24-44;PLA + CaCO3;72;0.3;2/1;90;2;355-500;2;18;42;52;70;225;230;235;240;240;2500;;;2520;2520;2600;;;;;40;20;1.65;220;1.9;80
24/04/2024;P24-45;rPET;72;0.2;2/1;60;2;355-500;2;14;;150;70;275;;;;290;2809;;;2830;2810;2970;;;;;;;;145;1.71;236
24/04/2024;P24-46;rPET;72;0.2;2/1;60;2;355-500;2;13;;150;70;275;;;;295;2866;;;2880;2860;2970;;;;;;;;131;2.15;143.71
30/04/2024;P24-49;rPET;72;0.3;2/1;30;3;355-500;2;14;58.7;109.3;100;275;280;285;290;295;2810;;;2822;2812;2960;;;;;20;18;1.3;140;2.8;140
02/05/2024;P24-50;PLA + CaCO3;72;0.3;2/1;90;2;355-500;2;18;40;50;70;225;230;235;240;240;2500;;;2520;2520;2600;;;;;40;20;1.65;200;1.9;90
02/05/2024;P24-52;PLA + CaCO3;72;0.3;2/1;90;2;355-500;2;19.5;43;50;70;225;230;235;240;240;2530;;;2550;2550;2630;;;;;40;20;1.65;220;1.7;95
02/05/2024;P24-53;PLA + CaCO3;72;0.3;2/1;90;2;355-500;2;19.5;41;50;70;225;230;235;240;240;2550;;;2570;2570;2650;;;;;40;20;1.65;220;1.7;100
13/05/2024;P24-58;MP1924 + 0.3 TiO2;72;0.3;2/1;90;2;355-500;2;13;70;69.3;90.7;280;290;290;295;295;2800;;;2851;2837;2923;13;;;;;18;1.5;133;2.16;128
13/05/2024;P24-59;MP1925 + 0.3 TiO2;72;0.3;2/1;90;2;355-500;2;14;45;154.8;111.2;295;300;305;305;305;2780;;;2842;2837;2923;22;;;;10;16;1.6;136;2.62;130.67
13/05/2024;P24-60;MP1925 + 0.3 TiO2;72;0.3;2/1;90;2;355-500;2;14.5;45;169.2;115.4;295;300;305;305;305;2740;;;2778;2758;2840;16;;;;10;16;1.5;148;2.9;147
