material,PROC_N_holes_ N_filaments,PROC_Diameter(mm),PROC_L,PROC_D,PROC_Vpump(rpm),PROC_Vext(rpm),PROC_TE1(C),PROC_TE2(C),PROC_TE3(C),PROC_TE4(C),PROC_TD(C),PROC_Pd(bar),PROC_Pe(bar),PROC_VTO(m/min),PROC_VG1(m/min),PROC_VG2(m/min),PROC_VG3(m/min),PROC_VG4(m/min),PROC_Vwinder (m/min),HIDDEN_PROC_Tension,HIDDEN_PROC_TG1(C),HIDDEN_PROC_TG2(C),HIDDEN_PROC_TG3(C),HIDDEN_PROC_Quench(pc),HIDDEN_PROC_Spin(rpm),PERF_Count(dtex),PERF_Tenacity(g/den),PERF_Elongation (pc)
PP HP 561R,12,0.5,4,1,31,66,210,220,225,225,220,27.5,70,1252,2099,2349,2661,2558,2590,25,,,,95,24,240,1.99,117.28
rPET+CO2Pure,72,0.3,2,1,18.6,59,275,280,275,285,285,25.6,70,1500,1650,2550,2563,2617,2700,20,90,105,125,30,22,205,2.9,62.93
rPET+CO2Pure,72,0.3,2,1,20,60,275,280,275,285,285,29,70,1500,1650,2700,2700,2725,,,,,,,,233,2.6,46
rPET+CO2Pure,72,0.3,2,1,22,60,275,280,275,285,285,37.9,70,1500,1650,2700,2700,2725,2810,,,,,,,233,1.41,34
PA B33L,36,0.4,4,1,23,38,255,265,275,275,280,105,75,2925,3000,3000,2990,2925,3020,10,,,,70,25,200,2.88,80.56
PA B33L,36,0.4,4,1,23,38,255,265,275,275,280,110,75,2802,2896,2905,2832,2832,2910,12,,,,70,25,200,2.97,89.22
PA B33L,36,0.4,4,1,19,33,255,265,275,275,280,98,75,2431,2516,2525,2465,2460,2530,12,,,,70,23,180,2.88,89.89
PA6 PEMTABATC,36,0.4,4,1,24,70,250,260,260,260,260,13.5,86.5,2800,2960,3000,3050,3060,3160,29,65,65,,55,25,190,3.97,83.11
PA6 PEMTABATC,36,0.4,4,1,30,73.7,250,260,260,260,260,26.5,85,2800,2960,3000,3050,3060,3170,30,65,65,,55,25,230,3.67,81.67
PA6 PEMTABATC,36,0.4,4,1,30,73.8,250,260,260,260,260,26.1,87.8,2800,2960,3000,3220,3235,3345,30,66,66,,55,25,227,3.67,73.06
