Nº holes / Nº filaments;Diameter (mm);L/D;Filter (um);Sand quantity (cm);Support;Vpump (rpm);Vext (rpm);TE1 (°C);TE2 (°C);TD(°C);PD(bar);PE(bar);VTO (m/min);VG1(m/min);VG2(m/min);Vwinder (m/min);Winder tension (N);Tg1(°C);Tg3(°C);Quench (%);Spin. F (rmp);Height (m);Count (dtex);Tenacity (g/den);Elongation (%);Sand size min (um);Sand size max (um);Material;Cluster
12.0;0.5;4.0;178.0;2.0;2.0;33.0;60.0;190.0;200.0;210.0;34.0;75.0;1399.0;2489.0;2501.0;2595.0;17.035897435897436;85.53254437869822;111.51612903225806;100.0;22.0;2.25;240;1.41;108.6;800.0;500.0;PP HS61R;cluster-1
72.0;0.35;4.0;178.0;2.5633187772925763;35.612648221343875;35.0;63.0;190.0;200.0;210.0;16.0;75.0;1800.0;2489.0;2501.0;2595.0;17.035897435897436;85.53254437869822;111.51612903225806;60.0;22.0;1.5;290;2.36;166.5;560.5744680851063;375.3404255319149;PP 561R;cluster-1
72.0;0.35;4.0;178.0;2.5633187772925763;35.612648221343875;50.0;83.0;190.0;200.0;210.0;3.0;75.0;1599.0;2501.0;2551.0;2640.0;17.035897435897436;60.0;111.51612903225806;80.0;22.0;2.25;410;2.74;165.27;560.5744680851063;375.3404255319149;PP 561R;cluster-1
36.0;0.35;4.0;178.0;2.5633187772925763;35.612648221343875;25.0;50.0;190.0;200.0;210.0;0.0;75.0;1852.0;2099.0;2349.0;2580.0;17.035897435897436;85.53254437869822;111.51612903225806;70.0;22.0;2.25;210;3.18;126.33;560.5744680851063;375.3404255319149;PP H561R;cluster-1
36.0;0.35;4.0;178.0;2.5633187772925763;35.612648221343875;29.0;58.0;190.0;200.0;210.0;0.0;75.0;1852.0;2099.0;2349.0;2580.0;17.035897435897436;85.53254437869822;111.51612903225806;70.0;22.0;2.25;240;3.05;122.75;560.5744680851063;375.3404255319149;PP H561R;cluster-1
12.0;0.5;4.0;60.0;2.5633187772925763;2.0;29.0;62.0;205.0;220.0;235.0;18.9;70.0;1252.0;2099.0;2349.0;2590.0;16.0;85.53254437869822;111.51612903225806;95.0;24.0;2.25;245;1.91;96.81;800.0;300.0;PP H561R;cluster1
12.0;0.5;4.0;60.0;2.5633187772925763;2.0;29.0;65.0;210.0;220.0;220.0;18.0;70.0;1252.0;2099.0;2349.0;2590.0;20.0;85.53254437869822;111.51612903225806;95.0;24.0;2.25;225;2.04;102.67;800.0;300.0;PP H561R;cluster1
12.0;0.5;4.0;60.0;2.5633187772925763;2.0;30.0;65.0;210.0;220.0;220.0;17.4;70.0;1252.0;2099.0;2349.0;2590.0;20.0;85.53254437869822;111.51612903225806;95.0;24.0;2.25;230;1.84;86.44;800.0;300.0;PP H561R;cluster1
12.0;0.5;4.0;60.0;2.5633187772925763;2.0;31.0;66.0;210.0;220.0;220.0;27.5;70.0;1252.0;2099.0;2349.0;2590.0;24.0;85.53254437869822;111.51612903225806;95.0;24.0;2.25;240;1.99;117.28;800.0;300.0;PP H561R;cluster-1
72.0;0.3;2.0;60.0;2.5633187772925763;35.612648221343875;18.6;59.0;275.0;280.0;285.0;25.6;70.0;1500.0;1650.0;2550.0;2700.0;20.0;90.0;125.0;30.0;22.0;1.35;205;2.9;62.93;560.5744680851063;375.3404255319149;rPET + CO2 Pure;cluster-1
72.0;0.3;2.0;60.0;2.5633187772925763;35.612648221343875;20.0;60.0;275.0;280.0;285.0;29.0;70.0;1500.0;1650.0;2550.0;2700.0;20.0;90.0;125.0;30.0;22.0;1.35;220;2.9;62.93;560.5744680851063;375.3404255319149;rPET + CO2 Pure;cluster-1
72.0;0.3;2.0;60.0;2.5633187772925763;35.612648221343875;22.0;60.0;275.0;280.0;285.0;37.9;70.0;1500.0;1650.0;2700.0;2810.0;20.0;90.0;125.0;30.0;22.0;1.35;233;2.6;46.0;560.5744680851063;375.3404255319149;rPET + CO2 Pure;cluster-1
