Cluster;Tenacity (MPa);std
PA;346.51354499999997;40.05778983440099
PBT;211.08906;79.97151906271273
PE;170.35683000000003;60.446127744849846
PES ;;
PET;252.83266214876033;73.29788593981016
PHB;123.92761499999999;30.517569622039037
PLA;218.41696406250003;50.32031025788642
PP;196.97542199999998;67.17894097270158
TPE;68.94300000000001;4.563124835570472
TPX;192.42505799999998;56.17399156016302
other;;
