Nº holes / Nº filaments;Diameter (mm);L/D;Filter (um);Sand quantity (cm);Support;Vpump (rpm);Vext (rpm);TE1 (°C);TE2 (°C);TD(°C);PD(bar);PE(bar);VTO (m/min);VG1(m/min);VG2(m/min);Vwinder (m/min);Winder tension (N);Tg1(°C);Tg3(°C);Quench (%);Spin. F (rmp);Height (m);Count (dtex);Tenacity (g/den);Elongation (%);Sand size min (um);Sand size max (um);Cluster;density [gr/cm^3];Tenacity (MPa)
48.0;0.2;3.0133333333333336;60.0;2.5633187772925763;35.612648221343875;35.0;70.0;215.0;225.0;350.0;0.0;80.0;1149.0;1225.0;1799.0;2440.0;17.035897435897436;60.0;90.0;80.0;25.0;2.4;300;3.27;86.67;560.5744680851063;375.3404255319149;PP;0.905;261.01467
48.0;0.2;3.0133333333333336;60.0;2.5633187772925763;35.612648221343875;28.0;73.0;215.0;225.0;350.0;0.0;80.0;1149.0;1225.0;1799.0;2440.0;17.035897435897436;60.0;90.0;80.0;25.0;2.4;240;3.58;90.49;560.5744680851063;375.3404255319149;PP;0.905;285.75917999999996
72.0;0.35;4.0;60.0;2.0;2.0;20.6;47.24;200.0;210.0;230.0;104.4;63.9;719.0;950.0;1300.0;1835.0;17.035897435897436;65.0;80.0;90.0;15.0;2.25;240;1.2;197.0;500.0;355.0;PP;0.905;95.7852
72.0;0.35;4.0;60.0;2.0;2.0;20.1;53.0;200.0;210.0;230.0;103.0;65.0;750.0;900.0;1550.0;2010.0;22.0;70.0;80.0;90.0;17.0;2.25;220;1.16;100.78;500.0;355.0;PP;0.905;92.59235999999999
72.0;0.6;4.0;178.0;2.5633187772925763;35.612648221343875;33.0;94.32;240.0;260.0;280.0;32.1;66.1;523.0;550.0;1600.0;1882.0;17.035897435897436;70.0;125.0;60.0;12.0;2.1;330;3.72;80.3;560.5744680851063;375.3404255319149;PP;0.905;296.93412
72.0;0.6;4.0;178.0;2.5633187772925763;35.612648221343875;36.0;94.32;240.0;260.0;280.0;32.1;66.1;523.0;550.0;1600.0;1980.0;17.035897435897436;70.0;125.0;60.0;12.0;2.1;340;3.17;61.0;560.5744680851063;375.3404255319149;PP;0.905;253.03257
12.0;0.5;4.0;178.0;2.5633187772925763;178.0;21.5;56.0;210.0;210.0;230.0;125.0;65.0;750.0;900.0;1550.0;2010.0;17.035897435897436;60.0;80.0;90.0;17.0;2.25;220;1.33;144.79;560.5744680851063;375.3404255319149;PP;0.905;106.16193
12.0;0.5;4.0;178.0;2.5633187772925763;178.0;21.5;54.0;200.0;210.0;230.0;170.0;65.0;750.0;1000.0;1550.0;2010.0;17.035897435897436;60.0;80.0;90.0;20.0;2.25;220;1.28;162.83;560.5744680851063;375.3404255319149;PP;0.905;102.17088
72.0;0.4;4.0;90.0;2.5633187772925763;35.612648221343875;16.0;41.2;200.0;215.0;230.0;36.3;60.0;750.0;900.0;2100.0;2085.0;30.0;65.0;110.0;50.0;18.0;1.5;150;3.36;24.55;560.5744680851063;375.3404255319149;PP;0.905;268.19856
72.0;0.4;4.0;90.0;2.5633187772925763;35.612648221343875;16.0;40.5;200.0;215.0;230.0;27.1;60.0;800.0;950.0;2150.0;2090.0;10.0;65.0;110.0;60.0;20.0;1.94;150;2.27;20.44;560.5744680851063;375.3404255319149;PP;0.905;181.19367
72.0;0.4;4.0;90.0;2.5633187772925763;35.612648221343875;16.0;80.0;210.0;230.0;250.0;32.7;40.0;800.0;950.0;2150.0;2135.0;10.0;65.0;110.0;80.0;20.0;2.2;150;2.9;87.0;560.5744680851063;375.3404255319149;PP;0.905;231.48090000000002
72.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;16.0;37.0;220.0;230.0;260.0;43.5;60.0;802.0;949.0;1951.0;2180.0;19.0;65.0;120.0;80.0;16.0;2.1;140;3.23;77.33;560.5744680851063;375.3404255319149;PP;0.905;257.82183
72.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;16.0;37.0;220.0;230.0;260.0;43.5;60.0;602.0;749.0;1951.0;2180.0;19.0;65.0;120.0;80.0;16.0;2.1;140;3.44;67.44;560.5744680851063;375.3404255319149;PP;0.905;274.58424
72.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;16.0;40.0;220.0;230.0;260.0;40.2;60.0;602.0;749.0;1951.0;2165.0;19.0;65.0;120.0;80.0;16.0;2.1;140;3.52;63.89;560.5744680851063;375.3404255319149;PP;0.905;280.96992
72.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;16.5;36.0;220.0;230.0;260.0;56.0;60.0;602.0;749.0;1951.0;2165.0;19.0;65.0;120.0;80.0;16.0;2.1;140;3.27;54.4;560.5744680851063;375.3404255319149;PP;0.905;261.01467
72.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;16.5;55.0;220.0;230.0;260.0;50.0;60.0;602.0;749.0;1951.0;2165.0;19.0;65.0;120.0;80.0;16.0;2.1;140;3.37;76.4;560.5744680851063;375.3404255319149;PP;0.905;268.99676999999997
